cluster,feature,rings,non_null,missing_rate,unique_non_null,mean
cluster_0,含水率,199,0,1.0,0,
cluster_0,容重（重度）,199,0,1.0,0,
cluster_0,孔隙比,199,0,1.0,0,
cluster_0,塑性指数,199,0,1.0,0,
cluster_0,液性指数,199,0,1.0,0,
cluster_0,内摩擦角,199,0,1.0,0,
cluster_0,黏聚力,199,0,1.0,0,
cluster_0,饱和单轴抗压强度标准值,199,0,1.0,0,
cluster_0,完整性指数,199,0,1.0,0,
cluster_0,泊松比,199,0,1.0,0,
cluster_0,重型圆锥动力触探锤击数N,199,0,1.0,0,
cluster_0,主RGB比例,199,190,0.0452,44,99.3741
cluster_1,含水率,89,86,0.0337,74,24.2253
cluster_1,容重（重度）,89,89,0.0,74,26.2265
cluster_1,孔隙比,89,86,0.0337,74,0.7081
cluster_1,塑性指数,89,86,0.0337,75,15.3694
cluster_1,液性指数,89,86,0.0337,74,0.3218
cluster_1,内摩擦角,89,89,0.0,89,28.3258
cluster_1,黏聚力,89,89,0.0,89,43.0458
cluster_1,饱和单轴抗压强度标准值,89,89,0.0,1,42.93
cluster_1,完整性指数,89,0,1.0,0,
cluster_1,泊松比,89,89,0.0,88,0.2659
cluster_1,重型圆锥动力触探锤击数N,89,89,0.0,1,13.02
cluster_1,主RGB比例,89,89,0.0,71,95.2362
cluster_2,含水率,113,113,0.0,111,27.9326
cluster_2,容重（重度）,113,113,0.0,111,19.5347
cluster_2,孔隙比,113,113,0.0,111,0.7792
cluster_2,塑性指数,113,113,0.0,71,13.0241
cluster_2,液性指数,113,113,0.0,71,0.7014
cluster_2,内摩擦角,113,113,0.0,71,14.4291
cluster_2,黏聚力,113,113,0.0,71,29.1046
cluster_2,饱和单轴抗压强度标准值,113,0,1.0,0,
cluster_2,完整性指数,113,0,1.0,0,
cluster_2,泊松比,113,0,1.0,0,
cluster_2,重型圆锥动力触探锤击数N,113,0,1.0,0,
cluster_2,主RGB比例,113,113,0.0,109,67.2763
cluster_3,含水率,165,10,0.9394,1,16.8
cluster_3,容重（重度）,165,165,0.0,41,25.8584
cluster_3,孔隙比,165,10,0.9394,1,0.522
cluster_3,塑性指数,165,10,0.9394,2,10.8
cluster_3,液性指数,165,10,0.9394,1,-0.09
cluster_3,内摩擦角,165,165,0.0,41,48.8015
cluster_3,黏聚力,165,165,0.0,13,8.009
cluster_3,饱和单轴抗压强度标准值,165,165,0.0,31,16.9731
cluster_3,完整性指数,165,165,0.0,41,0.7252
cluster_3,泊松比,165,165,0.0,41,0.4434
cluster_3,重型圆锥动力触探锤击数N,165,10,0.9394,2,25.9
cluster_3,主RGB比例,165,165,0.0,32,99.8205
cluster_4,含水率,17,17,0.0,1,16.8
cluster_4,容重（重度）,17,17,0.0,17,25.5872
cluster_4,孔隙比,17,17,0.0,1,0.522
cluster_4,塑性指数,17,17,0.0,2,10.8
cluster_4,液性指数,17,17,0.0,1,-0.09
cluster_4,内摩擦角,17,17,0.0,17,48.8543
cluster_4,黏聚力,17,17,0.0,1,35.0
cluster_4,饱和单轴抗压强度标准值,17,17,0.0,1,14.0
cluster_4,完整性指数,17,17,0.0,17,0.5379
cluster_4,泊松比,17,17,0.0,17,0.4504
cluster_4,重型圆锥动力触探锤击数N,17,17,0.0,2,25.9
cluster_4,主RGB比例,17,17,0.0,16,99.4918
cluster_5,含水率,189,189,0.0,179,28.4558
cluster_5,容重（重度）,189,189,0.0,180,18.766
cluster_5,孔隙比,189,189,0.0,180,0.8623
cluster_5,塑性指数,189,189,0.0,15,12.6182
cluster_5,液性指数,189,189,0.0,14,0.9636
cluster_5,内摩擦角,189,189,0.0,178,20.0866
cluster_5,黏聚力,189,189,0.0,179,8.3702
cluster_5,饱和单轴抗压强度标准值,189,0,1.0,0,
cluster_5,完整性指数,189,0,1.0,0,
cluster_5,泊松比,189,0,1.0,0,
cluster_5,重型圆锥动力触探锤击数N,189,0,1.0,0,
cluster_5,主RGB比例,189,189,0.0,63,99.3724
